time,seconds_elapsed,z,y,x,t
1766001308743009300,3.70300927734375,0.9623429775238036,9.006390571594238,-3.758885622024536,2.075269287109375
1766001308761790000,3.7217900390625,0.7882436513900757,9.05592918395996,-3.679564952850342,2.094050048828125
1766001308780570600,3.740570556640625,0.5663018822669983,9.097450256347656,-3.6174707412719727,2.11283056640625
1766001308799351300,3.759351318359375,0.3203113973140716,9.127570152282717,-3.5714478492736816,2.131611328125
1766001308818132000,3.778132080078125,0.0842290818691253,9.15573501586914,-3.512235641479492,2.15039208984375
1766001308836913000,3.796912841796875,-0.0985859036445617,9.190953254699709,-3.4186315536499023,2.1691728515625
1766001308855693600,3.815693603515625,-0.206919252872467,9.234761238098145,-3.2934412956237797,2.18795361328125
1766001308883864600,3.843864501953125,-0.2025749385356903,9.268756866455078,-3.1967926025390625,2.21612451171875
1766001308902645200,3.862645263671875,-0.0657304227352142,9.22604751586914,-3.32357120513916,2.2349052734375
1766001308921426200,3.88142626953125,0.1956215798854828,9.11620807647705,-3.609275102615357,2.253686279296875
1766001308940206800,3.900206787109375,0.5961028337478638,8.942610740661621,-3.980546951293945,2.272466796875
1766001308958987500,3.918987548828125,1.0764156579971311,8.730964660644531,-4.333818435668945,2.29124755859375
1766001308977768200,3.937768310546875,1.4603041410446167,8.582576751708984,-4.514118194580078,2.3100283203125
1766001308996548900,3.956548828125,1.7400190830230713,8.55196475982666,-4.472874641418457,2.328808837890625
1766001309015329800,3.975329833984375,1.9980708360672,8.56515121459961,-4.337775707244873,2.34758984375
1766001309034110500,3.9941103515625,2.2504494190216064,8.56351089477539,-4.215702533721924,2.366370361328125
1766001309052891100,4.01289111328125,2.2734038829803467,8.57077407836914,-4.188536643981934,2.385151123046875
1766001309071671800,4.031671875,2.149343490600586,8.638246536254883,-4.114778995513916,2.403931884765625
1766001309090452500,4.050452392578125,1.943805694580078,8.758478164672852,-3.9599320888519287,2.4227124023437496
1766001309109233400,4.0692333984375,1.644046187400818,8.889459609985352,-3.800659418106079,2.4414934082031254
