time,seconds_elapsed,z,y,x,t
1766001833592252700,10.295252685546876,-0.3001498579978943,9.762550354003906,-0.8791488409042358,8.15115087890625
1766001833611034000,10.3140341796875,-0.2325456142425537,9.765710830688477,-0.8644112944602966,8.169932373046874
1766001833629815800,10.33281591796875,-0.1847065985202789,9.76773738861084,-0.8529892563819885,8.188714111328125
1766001833648597200,10.35159716796875,-0.1782518327236175,9.768548011779783,-0.8450362682342529,8.207495361328125
1766001833667378700,10.370378662109376,-0.2243495881557464,9.767486572265623,-0.8463221788406372,8.22627685546875
1766001833695551000,10.398551025390624,-0.3942781686782837,9.761982917785645,-0.8477119207382202,8.254449218749999
1766001833714332400,10.41733251953125,-0.5899254679679871,9.751745223999023,-0.8519635796546936,8.273230712890625
1766001833733113900,10.43611376953125,-0.8664832711219788,9.729273796081545,-0.8722525835037231,8.292011962890625
1766001833751895300,10.454895263671874,-1.3464573621749878,9.672866821289062,-0.8905574679374695,8.310793457031249
1766001833770676700,10.4736767578125,-2.232703685760498,9.515381813049316,-0.80181884765625,8.329574951171875
1766001833789458400,10.49245849609375,-2.919172763824463,9.354924201965332,-0.3663431406021118,8.348356689453125
1766001833808239900,10.511239990234374,-3.192591905593872,9.270218849182127,-0.2019775956869125,8.367138183593749
1766001833827021300,10.530021240234374,-3.4856302738189697,9.16549301147461,-0.1203933134675026,8.385919433593749
1766001833845802800,10.548802734375,-3.744763612747192,9.06346607208252,-0.0267005190253257,8.404700927734375
1766001833864584200,10.567584228515624,-3.850109577178955,9.019229888916016,0.0232618357986211,8.423482421874999
1766001833892756500,10.595756591796874,-3.9500479698181152,8.975940704345703,-0.0024499967694282,8.451654785156249
1766001833911538000,10.614537841796874,-3.8912699222564697,9.000985145568848,-0.1033852472901344,8.470436035156249
1766001833930319400,10.6333193359375,-3.706423759460449,9.077908515930176,-0.1561457365751266,8.489217529296875
1766001833949100800,10.652100830078124,-3.4436898231506348,9.179886817932127,-0.2026459276676178,8.507999023437499
1766001833967882200,10.67088232421875,-3.168752670288086,9.27507781982422,-0.319867193698883,8.526780517578125
1766001833986663700,10.68966357421875,-2.9240541458129883,9.351375579833984,-0.4148126542568207,8.545561767578125
1766001834005445000,10.708445068359374,-2.719442367553711,9.412196159362791,-0.4308109879493713,8.564343261718749
1766001834033617400,10.736617431640624,-2.490272045135498,9.475621223449709,-0.4260547161102295,8.592515624999999
1766001834052398800,10.75539892578125,-2.392747640609741,9.499746322631836,-0.4471688270568847,8.611297119140625
1766001834071180300,10.77418017578125,-2.325993776321411,9.51613426208496,-0.4509322345256805,8.630078369140625
1766001834089961700,10.792961669921874,-2.262570142745972,9.532535552978516,-0.4265302419662475,8.648859863281249
1766001834108743400,10.811743408203125,-2.182209253311157,9.55325698852539,-0.3789645731449127,8.667641601562499
1766001834127524900,10.83052490234375,-2.0694539546966557,9.578187942504885,-0.382170706987381,8.686423095703125
1766001834146306300,10.849306396484376,-1.9343063831329343,9.605032920837402,-0.4149566888809204,8.705204589843751
1766001834165087700,10.868087646484376,-1.8023948669433596,9.629327774047852,-0.4447407126426697,8.72398583984375
1766001834183869200,10.886869140625,-1.6947966814041138,9.648146629333496,-0.4596787393093109,8.742767333984375
1766001834202650600,10.905650634765625,-1.64352285861969,9.657370567321776,-0.4521186053752899,8.761548828125
1766001834221432000,10.92443212890625,-1.6700371503829956,9.653925895690918,-0.4278626143932342,8.780330322265625
1766001834240213800,10.9432138671875,-1.783044695854187,9.63530731201172,-0.3898617029190063,8.799112060546875
1766001834258995200,10.9619951171875,-1.98672616481781,9.596896171569824,-0.3505509793758392,8.817893310546875
1766001834277776600,10.980776611328125,-2.2676002979278564,9.536266326904297,-0.2966308295726776,8.8366748046875
1766001834296558000,10.99955810546875,-2.613337278366089,9.449658393859863,-0.2117074579000473,8.855456298828125
1766001834315339500,11.018339599609376,-2.990909576416016,9.33848476409912,-0.1324877589941024,8.874237792968751
1766001834334121000,11.037120849609376,-3.383423089981079,9.204141616821287,-0.0811886563897132,8.893019042968751
1766001834352902400,11.05590234375,-3.768233299255371,9.053544998168944,-0.0642822906374931,8.911800537109375
1766001834371684000,11.07468408203125,-4.149789333343506,8.885238647460938,-0.0465991869568824,8.930582275390625
1766001834390465500,11.093465576171877,-4.486190319061279,8.72031307220459,-0.0252804737538099,8.949363769531251
1766001834409247000,11.1122470703125,-4.761438846588135,8.573019027709961,-0.0492005497217178,8.968145263671875
1766001834428028400,11.1310283203125,-5.006377220153809,8.432168006896973,-0.0715841054916381,8.986926513671875
1766001834446809900,11.149809814453125,-5.185595512390137,8.323455810546875,-0.0083679761737585,9.0057080078125
1766001834465591300,11.16859130859375,-5.256656646728516,8.277905464172363,0.1192788928747177,9.024489501953125
