time,seconds_elapsed,z,y,x,t
1766001759774646300,4.731646240234375,-0.0519235059618949,-0.0990364551544189,0.0547487549483776,2.009603515625
1766001759793427700,4.750427734375,-0.0500909127295017,-0.0765871703624725,0.052152581512928,2.028385009765625
1766001759812209200,4.769209228515625,-0.0323758348822593,-0.0944549664855003,0.0626899972558021,2.04716650390625
1766001759830990300,4.787990234375,-0.0047342018224298,-0.0442113392055034,0.0747545808553695,2.065947509765625
1766001759849771800,4.806771728515625,-0.0201585385948419,0.1049923822283744,0.1111010313034057,2.08472900390625
1766001759868553000,4.825552978515625,-0.0117591470479965,0.2386190593242645,0.150654524564743,2.10351025390625
1766001759887334400,4.84433447265625,0.0267253331840038,0.3400225937366485,0.1865428388118744,2.122291748046875
1766001759906115600,4.863115478515625,0.0184786599129438,0.2955822050571441,0.2349538654088974,2.1410727539062497
1766001759924897000,4.88189697265625,0.048105601221323,0.2416733801364898,0.3249036967754364,2.1598542480468748
1766001759943678500,4.900678466796875,0.0652098134160041,0.2703840136528015,0.4412734508514404,2.1786357421875
1766001759962459600,4.919459716796875,0.0642935186624527,0.368122398853302,0.5660426020622253,2.1974169921874998
1766001759981241000,4.938240966796875,0.0455094277858734,0.3832412958145141,0.6759982109069824,2.2161982421874997
1766001760000022300,4.957022216796875,0.0642935186624527,0.4105774760246277,0.7804561257362366,2.2349794921874997
1766001760018803700,4.9758037109375,0.0675005614757537,0.3979020416736603,0.9226348996162416,2.2537609863281247
1766001760037585000,4.9945849609375,0.0606283284723758,0.3585012555122375,1.0820705890655518,2.2725422363281247
1766001760056366300,5.013366455078125,0.0268780495971441,0.2740492224693298,1.2523491382598877,2.2913237304687497
1766001760075147500,5.0321474609375,0.0261144693940877,0.3032180070877075,1.4064397811889648,2.3101047363281246
1766001760093929000,5.050928955078125,0.0328339822590351,0.3464366793632507,1.4882956743240356,2.3288862304687497
1766001760112710400,5.06971044921875,0.0591011680662632,0.3760636150836944,1.5933644771575928,2.3476677246093747
1766001760131491600,5.08849169921875,0.1178968995809555,0.3484219908714294,1.5600723028182983,2.3664489746093746
1766001760150273000,5.10727294921875,0.1672242283821106,0.1005636155605316,1.5275437831878662,2.3852302246093746
1766001760169054200,5.12605419921875,0.3025307953357696,-0.0735328495502471,1.3455060720443726,2.4040114746093746
1766001760187835600,5.144835693359375,0.393244206905365,-0.0377972573041915,1.2425752878189087,2.4227929687499996
1766001760206616800,5.163616943359375,0.5642863512039185,0.0081703159958124,0.908585011959076,2.4415742187499996
1766001760225398300,5.182398193359375,0.4216494262218475,0.0489455386996269,0.529543399810791,2.4603554687499996
1766001760244179500,5.201179443359375,0.0561995580792427,-0.3155880272388458,-0.1805869042873382,2.4791367187499995
1766001760262961000,5.2199609375,-0.1794415265321731,-0.5284743905067444,-1.0124319791793823,2.4979182128906245
1766001760281742000,5.2387421875,-0.1945604383945465,-0.3548360764980316,-1.9775983095169067,2.5166994628906245
1766001760300523500,5.2575234375,-0.287564605474472,-0.7395281791687012,-2.8618252277374268,2.5354807128906245
1766001760319304700,5.2763046875,-0.3634645342826843,-1.166675329208374,-3.7164249420166016,2.5542619628906245
1766001760338086100,5.295086181640625,-0.5757400393486023,-1.492266297340393,-4.786965370178223,2.5730434570312495
1766001760356867300,5.313867431640625,-0.4696022868156433,-2.4113123416900635,-5.34544849395752,2.5918247070312495
1766001760375648800,5.332648681640625,-1.2287545204162598,-2.8525094985961914,-4.41326904296875,2.6106059570312494
1766001760394430000,5.351429931640625,0.0258090365678071,-1.2584577798843384,-2.00172758102417,2.6293872070312494
