time,seconds_elapsed,z,y,x,t
1766000654552611300,3.177611328125,-5.502175331115723,8.112541198730469,0.2883428037166595,0.9953845214843748
1766000654571392300,3.196392333984375,-5.66962480545044,7.996399402618408,0.2886573076248169,1.0141655273437502
1766000654590173000,3.2151728515625,-5.814518928527832,7.890366077423096,0.3222934603691101,1.032946044921875
1766000654608953900,3.233953857421875,-5.922610282897949,7.802278518676758,0.4663954973220825,1.05172705078125
1766000654627734500,3.252734619140625,-6.009340763092041,7.722084999084473,0.6539248824119568,1.0705078124999998
1766000654646515500,3.271515380859375,-6.114688873291016,7.623345375061035,0.8158261775970459,1.0892885742187501
1766000654665296400,3.29029638671875,-6.261168003082275,7.491295337677002,0.9212217926979064,1.108069580078125
1766000654684077300,3.309077392578125,-6.4284868240356445,7.341960906982422,0.9698206782341005,1.1268505859375
1766000654702858000,3.32785791015625,-6.588473320007324,7.192826271057129,1.012749433517456,1.1456311035156252
1766000654721639000,3.346638916015625,-6.734675407409668,7.046254634857178,1.079274296760559,1.1644121093750002
1766000654740419800,3.365419921875,-6.866994380950928,6.901711940765381,1.175222635269165,1.183193115234375
1766000654759200500,3.384200439453125,-6.988051891326904,6.761973857879639,1.270133137702942,1.2019736328125
1766000654777981400,3.4029814453125,-7.103219509124756,6.629369258880615,1.3289529085159302,1.2207546386718748
1766000654806152700,3.431152587890625,-7.270874500274658,6.43917989730835,1.3571079969406128,1.24892578125
1766000654824933600,3.44993359375,-7.367274761199951,6.327599048614502,1.3620400428771973,1.267706787109375
1766000654853105000,3.47810498046875,-7.477389812469482,6.19502067565918,1.3714061975479126,1.2958781738281249
1766000654871885600,3.496885498046875,-7.532073497772217,6.125336170196533,1.3851033449172974,1.3146586914062501
1766000654890666500,3.51566650390625,-7.57002067565918,6.075029373168945,1.3997100591659546,1.333439697265625
1766000654909447400,3.534447509765625,-7.591462135314941,6.048681259155273,1.39769184589386,1.352220703125
1766000654928228000,3.55322802734375,-7.593393802642822,6.049153327941895,1.3850971460342407,1.3710012207031252
1766000654947009000,3.572009033203125,-7.583736419677734,6.062782287597656,1.3784056901931765,1.3897822265625002
1766000654965790000,3.5907900390625,-7.5585737228393555,6.092405796051025,1.3859798908233645,1.408563232421875
1766000654984570600,3.609570556640625,-7.512667179107666,6.146746635437012,1.3956069946289062,1.42734375
1766000655003351600,3.6283515625,-7.445471286773682,6.2277655601501465,1.3965247869491575,1.4461247558593748
1766000655022132500,3.647132568359375,-7.360586166381836,6.331157207489014,1.3815287351608276,1.4649057617187502
1766000655040913400,3.665913330078125,-7.260069847106934,6.456009864807129,1.3348112106323242,1.4836865234375
1766000655059694000,3.684694091796875,-7.1393208503723145,6.603813648223877,1.2610033750534058,1.50246728515625
1766000655078475000,3.70347509765625,-7.001471042633057,6.764575958251953,1.179112195968628,1.5212482910156249
1766000655097256000,3.722255859375,-6.847702503204346,6.93285608291626,1.1022014617919922,1.5400290527343752
1766000655116036600,3.74103662109375,-6.673775672912598,7.113347053527832,1.0155742168426514,1.558809814453125
1766000655134817500,3.759817626953125,-6.481061458587647,7.304440021514893,0.9007743000984192,1.5775908203125
1766000655153598500,3.778598388671875,-6.269000053405762,7.5028252601623535,0.7600244879722595,1.5963715820312498
1766000655172379100,3.797379150390625,-6.035770893096924,7.705853462219238,0.5997331142425537,1.6151523437500002
1766000655200550700,3.825550537109375,-5.642078876495361,8.014599800109863,0.3217649757862091,1.64332373046875
1766000655219331300,3.844331298828125,-5.355313777923584,8.214217185974121,0.1327809989452362,1.6621044921875
1766000655238112300,3.8631123046875,-5.053079128265381,8.404536247253418,-0.0235314629971981,1.6808854980468753
1766000655256893200,3.88189306640625,-4.748006343841553,8.579221725463867,-0.1541451960802078,1.6996662597656251
1766000655275673900,3.900673828125,-4.414182186126709,8.752837181091309,-0.2706085741519928,1.718447021484375
1766000655294454800,3.919454833984375,-4.407764434814453,8.751090049743652,-0.4005209803581238,1.73722802734375
1766000655313235700,3.938235595703125,-4.733768939971924,8.583088874816895,-0.3039844334125519,1.7560087890625002
1766000655332016400,3.957016357421875,-4.867266654968262,8.513518333435059,-0.0104122385382652,1.7747895507812501
1766000655350797300,3.97579736328125,-5.043087959289551,8.40995979309082,0.1011108830571174,1.793570556640625
1766000655369578200,3.994578125,-5.208009243011475,8.307329177856445,0.1878720968961715,1.812351318359375
1766000655397749500,4.02274951171875,-5.448844909667969,8.149785995483398,0.2479157000780105,1.8405227050781252
1766000655416530400,4.041530517578125,-5.589206695556641,8.052694320678711,0.2920146882534027,1.8593037109375001
1766000655435311000,4.06031103515625,-5.700075149536133,7.969521999359131,0.4077432155609131,1.878084228515625
1766000655454092000,4.079092041015625,-5.792529582977295,7.892408847808838,0.5717185139656067,1.8968652343749999
1766000655472873000,4.097873046875,-5.8902082443237305,7.806453704833984,0.7315161824226379,1.9156462402343744
1766000655491654000,4.11665380859375,-6.0083112716674805,7.7023773193359375,0.862527072429657,1.9344270019531242
1766000655510434600,4.1354345703125,-6.141478538513184,7.583134174346924,0.9740172624588012,1.953207763671875
1766000655529215500,4.154215576171875,-6.278528690338135,7.453913688659668,1.0907061100006104,1.97198876953125
1766000655547996400,4.172996337890625,-6.411262035369873,7.321544647216797,1.2087581157684326,1.9907695312499998
1766000655566777000,4.191777099609375,-6.546675682067871,7.180893421173096,1.321435570716858,2.0095502929687497
1766000655585558000,4.21055810546875,-6.682363033294678,7.034435272216797,1.425879955291748,2.0283312988281246
1766000655604339000,4.2293388671875,-6.818673133850098,6.885866165161133,1.503638744354248,2.0471120605468744
